file,group,subgroup,expected_category,expected_color,expected_occasions,expected_seasons
top_hoodie_gray_05.webp,category,top,top,,,
top_shirt_blue_03.webp,category,top,top,,,
top_shirt_white_04.webp,category,top,top,,,
top_sweater_beige_06.webp,category,top,top,,,
top_tanktop_green_08.webp,category,top,top,,,
top_tshirt_black_02.webp,category,top,top,,,
top_tshirt_white_01.webp,category,top,top,,,
color_dark_gray_black_outer_02.jpg,color,dark_gray_black,,dark_gray_black,,
color_dark_gray_black_shoes_03.jpg,color,dark_gray_black,,dark_gray_black,,
color_dark_gray_black_top_01.webp,color,dark_gray_black,,dark_gray_black,,
color_earth_brown_shoes_03.jpg,color,earth_brown,,earth_brown,,
color_earth_brown_skirt_02.jpg,color,earth_brown,,earth_brown,,
color_earth_brown_top_01.jpg,color,earth_brown,,earth_brown,,
color_elegant_purple_dress_03.jpg,color,elegant_purple,,elegant_purple,,
color_elegant_purple_skirt_02.jpg,color,elegant_purple,,elegant_purple,,
color_elegant_purple_top_01.jpg,color,elegant_purple,,elegant_purple,,
color_fresh_blue_dress_03.jpg,color,fresh_blue,,fresh_blue,,
color_fresh_blue_pants_02.jpg,color,fresh_blue,,fresh_blue,,
color_fresh_blue_top_01.jpg,color,fresh_blue,,fresh_blue,,
color_light_beige_pants_02.jpg,color,light_beige,,light_beige,,
color_light_beige_shoes_03.jpg,color,light_beige,,light_beige,,
color_light_beige_top_01.png,color,light_beige,,light_beige,,
color_natural_green_dress_03.jpg,color,natural_green,,natural_green,,
color_natural_green_outer_02.jpg,color,natural_green,,natural_green,,
color_natural_green_top_01.jpg,color,natural_green,,natural_green,,
color_neutral_gray_outer_03.jpg,color,neutral_gray,,neutral_gray,,
color_neutral_gray_pants_02.jpg,color,neutral_gray,,neutral_gray,,
color_neutral_gray_top_01.jpg,color,neutral_gray,,neutral_gray,,
color_rose_pink_dress_03.jpg,color,rose_pink,,rose_pink,,
color_rose_pink_skirt_02.jpg,color,rose_pink,,rose_pink,,
color_rose_pink_top_01.jpg,color,rose_pink,,rose_pink,,
color_warm_orange_red_dress_02.jpg,color,warm_orange_red,,warm_orange_red,,
color_warm_orange_red_shoes_03.jpg,color,warm_orange_red,,warm_orange_red,,
color_warm_orange_red_top_01.jpg,color,warm_orange_red,,warm_orange_red,,
edge_beige_brown_confusion_09.webp,edge_cases,,,,,
edge_blue_green_confusion_10.jpg,edge_cases,,,,,
edge_cardigan_outer_confusion_03.webp,edge_cases,,,,,
edge_denim_color_confusion_08.webp,edge_cases,,,,,
edge_dress_skirt_confusion_01.webp,edge_cases,,,,,
edge_hoodie_vs_jacket_04.webp,edge_cases,,,,,
edge_long_shirt_vs_dress_02.webp,edge_cases,,,,,
edge_pattern_color_confusion_07.webp,edge_cases,,,,,
edge_skirt_vs_shorts_06.jpg,edge_cases,,,,,
edge_sweater_vs_sweatshirt_05.webp,edge_cases,,,,,
occasion_business_casual_cardigan_03.jpg,occasion,business_casual,,,business_casual,
occasion_business_casual_flats_04.jpg,occasion,business_casual,,,business_casual,
occasion_business_casual_shirt_01.jpg,occasion,business_casual,,,business_casual,
occasion_business_casual_trousers_02.jpg,occasion,business_casual,,,business_casual,
occasion_campus_casual_hoodie_02.webp,occasion,campus_casual,,,campus_casual,
occasion_campus_casual_jeans_03.jpg,occasion,campus_casual,,,campus_casual,
occasion_campus_casual_sneakers_04.webp,occasion,campus_casual,,,campus_casual,
occasion_campus_casual_tshirt_01.jpg,occasion,campus_casual,,,campus_casual,
occasion_professional_blazer_01.jpg,occasion,professional,,,professional,
occasion_professional_heels_04.webp,occasion,professional,,,professional,
occasion_professional_shirt_02.png,occasion,professional,,,professional,
occasion_professional_trousers_03.jpg,occasion,professional,,,professional,
occasion_social_blouse_04.png,occasion,social,,,social,
occasion_social_dress_01.webp,occasion,social,,,social,
occasion_social_heels_02.webp,occasion,social,,,social,
occasion_social_skirt_03.png,occasion,social,,,social,
season_autumn_boots_04.jpg,season,autumn,,,,autumn
season_autumn_hoodie_01.jpg,season,autumn,,,,autumn
season_autumn_jeans_03.webp,season,autumn,,,,autumn
season_autumn_knit_02.jpg,season,autumn,,,,autumn
season_spring_cardigan_01.jpg,season,spring,,,,spring
season_spring_flats_04.webp,season,spring,,,,spring
season_spring_midi_skirt_03.jpg,season,spring,,,,spring
season_spring_shirt_02.jpg,season,spring,,,,spring
season_summer_sandals_03.webp,season,summer,,,,summer
season_summer_shorts_02.webp,season,summer,,,,summer
season_summer_sleeveless_dress_04.webp,season,summer,,,,summer
season_summer_tanktop_01.jpg,season,summer,,,,summer
season_winter_boots_04.jpg,season,winter,,,,winter
season_winter_coat_01.webp,season,winter,,,,winter
season_winter_puffer_02.jpg,season,winter,,,,winter
season_winter_sweater_03.webp,season,winter,,,,winter
