file,group,subgroup,expected_category,expected_color,expected_occasions,expected_seasons
color_elegant_purple_dress_03.jpg,color,elegant_purple,dress,elegant_purple,social,spring|summer
color_elegant_purple_skirt_02.jpg,color,elegant_purple,skirt,elegant_purple,social,spring|summer
color_elegant_purple_top_01.jpg,color,elegant_purple,top,elegant_purple,business_casual,spring|autumn
color_fresh_blue_dress_03.jpg,color,fresh_blue,dress,fresh_blue,social|professional,spring|summer
color_fresh_blue_pants_02.jpg,color,fresh_blue,pants,fresh_blue,campus_casual,spring|autumn
color_fresh_blue_top_01.jpg,color,fresh_blue,top,fresh_blue,professional|business_casual,spring|autumn
color_light_beige_pants_02.jpg,color,light_beige,pants,light_beige,professional|business_casual,spring|summer|autumn
color_light_beige_shoes_03.jpg,color,light_beige,shoes,light_beige,campus_casual,spring|summer
color_light_beige_top_01.png,color,light_beige,top,light_beige,campus_casual,summer
color_natural_green_dress_03.jpg,color,natural_green,dress,natural_green,social,spring|autumn
color_natural_green_outer_02.jpg,color,natural_green,outer,natural_green,campus_casual,autumn|winter
color_natural_green_top_01.jpg,color,natural_green,top,natural_green,campus_casual,summer
color_neutral_gray_outer_03.jpg,color,neutral_gray,outer,neutral_gray,professional,spring|autumn
color_neutral_gray_pants_02.jpg,color,neutral_gray,pants,neutral_gray,professional,spring|autumn
color_neutral_gray_top_01.jpg,color,neutral_gray,top,neutral_gray,business_casual,autumn|winter
color_pattern_dress_03.jpg,color,pattern,dress,fresh_blue,social,spring|summer
color_pattern_skirt_02.jpg,color,pattern,skirt,natural_green,social,spring|summer
color_pattern_top_01.jpg,color,pattern,top,light_beige,social,spring|summer
color_rose_pink_dress_03.jpg,color,rose_pink,dress,rose_pink,social,spring|summer
color_rose_pink_skirt_02.jpg,color,rose_pink,skirt,rose_pink,social,spring|summer
color_rose_pink_top_01.jpg,color,rose_pink,top,rose_pink,campus_casual,spring|autumn
color_warm_orange_red_dress_02.jpg,color,warm_orange_red,dress,warm_orange_red,social,spring|summer
color_warm_orange_red_shoes_03.jpg,color,warm_orange_red,shoes,warm_orange_red,social,spring|summer|autumn
color_warm_orange_red_top_01.jpg,color,warm_orange_red,top,warm_orange_red,campus_casual,autumn|winter
edge_beige_brown_confusion_09.webp,edge_cases,edge_cases,top,earth_brown,business_casual,autumn|winter
edge_blue_green_confusion_10.jpg,edge_cases,edge_cases,top,fresh_blue,professional|business_casual,spring|autumn
edge_cardigan_outer_confusion_03.webp,edge_cases,edge_cases,outer,earth_brown,business_casual,autumn|winter
edge_denim_color_confusion_08.webp,edge_cases,edge_cases,outer,fresh_blue,campus_casual,spring|autumn
edge_dress_skirt_confusion_01.webp,edge_cases,edge_cases,dress,light_beige,social,summer
edge_hoodie_vs_jacket_04.webp,edge_cases,edge_cases,top,fresh_blue,campus_casual,autumn|winter
edge_long_shirt_vs_dress_02.webp,edge_cases,edge_cases,dress,light_beige,professional|social,spring|summer
edge_pattern_color_confusion_07.webp,edge_cases,edge_cases,top,warm_orange_red,social,summer
edge_skirt_vs_shorts_06.jpg,edge_cases,edge_cases,skirt,earth_brown,social|campus_casual,summer
edge_sweater_vs_sweatshirt_05.webp,edge_cases,edge_cases,top,fresh_blue,campus_casual,autumn|winter
occasion_business_casual_cardigan_03.jpg,occasion,business_casual,top,neutral_gray,business_casual,spring|autumn
occasion_business_casual_flats_04.jpg,occasion,business_casual,shoes,earth_brown,business_casual,spring|autumn
occasion_business_casual_shirt_01.jpg,occasion,business_casual,top,dark_gray_black,professional|business_casual,spring|autumn
occasion_business_casual_trousers_02.jpg,occasion,business_casual,pants,earth_brown,campus_casual,spring|autumn
occasion_campus_casual_hoodie_02.webp,occasion,campus_casual,top,dark_gray_black,campus_casual,autumn|winter
occasion_campus_casual_jeans_03.jpg,occasion,campus_casual,pants,fresh_blue,campus_casual,spring|autumn
occasion_campus_casual_sneakers_04.webp,occasion,campus_casual,shoes,light_beige,campus_casual,spring|summer
occasion_campus_casual_tshirt_01.jpg,occasion,campus_casual,top,fresh_blue,campus_casual,summer
occasion_professional_blazer_01.jpg,occasion,professional,outer,fresh_blue,professional,spring|autumn
occasion_professional_heels_04.webp,occasion,professional,shoes,light_beige,professional|social,spring|summer
occasion_professional_shirt_02.png,occasion,professional,top,light_beige,professional,spring|summer|autumn
occasion_professional_trousers_03.jpg,occasion,professional,pants,dark_gray_black,professional,spring|autumn
occasion_social_blouse_04.png,occasion,social,top,light_beige,social,spring|summer
occasion_social_dress_01.webp,occasion,social,dress,dark_gray_black,social,spring|summer
occasion_social_heels_02.webp,occasion,social,shoes,warm_orange_red,social,spring|summer|autumn
occasion_social_skirt_03.png,occasion,social,skirt,warm_orange_red,social,spring|autumn
season_autumn_boots_04.jpg,season,autumn,shoes,earth_brown,social,autumn|winter
season_autumn_hoodie_01.jpg,season,autumn,top,warm_orange_red,campus_casual,autumn|winter
season_autumn_jeans_03.webp,season,autumn,pants,fresh_blue,campus_casual,autumn|winter
season_autumn_knit_02.jpg,season,autumn,top,light_beige,business_casual,spring|autumn
season_spring_cardigan_01.jpg,season,spring,top,fresh_blue,business_casual,spring|autumn
season_spring_flats_04.webp,season,spring,shoes,light_beige,business_casual,spring|summer
season_spring_midi_skirt_03.jpg,season,spring,skirt,natural_green,social,spring|summer
season_spring_shirt_02.jpg,season,spring,top,light_beige,business_casual,spring|summer
season_summer_sandals_03.webp,season,summer,shoes,light_beige,campus_casual,summer
season_summer_shorts_02.webp,season,summer,pants,natural_green,campus_casual,summer
season_summer_sleeveless_dress_04.webp,season,summer,dress,light_beige,social,summer
season_summer_tanktop_01.jpg,season,summer,top,light_beige,campus_casual,summer
season_winter_boots_04.jpg,season,winter,shoes,light_beige,campus_casual|social,winter
season_winter_coat_01.webp,season,winter,outer,rose_pink,campus_casual,winter
season_winter_puffer_02.jpg,season,winter,outer,dark_gray_black,campus_casual,winter
season_winter_sweater_03.webp,season,winter,top,natural_green,campus_casual,winter
